,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
2074,NVR,"NVR, Inc.",3860,$14.26B,,Capital Goods,Homebuilding
474,CABO,"Cable One, Inc.",1516.28,$8.66B,2015,Consumer Services,Television Services
281,BAC^L,Bank of America Corporation,1474.33,,,,
3018,WFC^L,Wells Fargo & Company,1444,,,,
268,AZO,"AutoZone, Inc.",1225.22,$28.98B,,Consumer Services,Other Specialty Stores
514,CCI^A,Crown Castle International Corporation,1221.38,,,,
808,DHR^A,Danaher Corporation,1168,,,,
1813,MKL,Markel Corporation,1138.92,$15.73B,1986,Finance,Property-Casualty Insurers
3074,WTM,"White Mountains Insurance Group, Ltd.",1115.62,$3.55B,,Finance,Property-Casualty Insurers
1149,FTV^A,Fortive Corporation,977.7925,,,,
2910,USB^A,U.S. Bancorp,862.0001,,,Finance,Major Banks
622,CMG,"Chipotle Mexican Grill, Inc.",822.79,$22.87B,2006,Consumer Services,Restaurants
3098,Y,Alleghany Corporation,796.29,$11.46B,,Finance,Property-Casualty Insurers
1876,MTD,"Mettler-Toledo International, Inc.",781.27,$19.03B,1997,Capital Goods,Biotechnology: Laboratory Analytical Instruments
2807,TPL,Texas Pacific Land Trust,695.05,$5.39B,,Energy,Oil & Gas Production
1202,GHC,Graham Holdings Company,639.86,$3.4B,,Consumer Services,Other Consumer Services
2554,SHW,Sherwin-Williams Company (The),579.51,$53.49B,,Consumer Services,RETAIL: Building Materials
2732,TDG,Transdigm Group Incorporated,575.34,$30.81B,2006,Capital Goods,Military/Government/Technical
387,BLK,"BlackRock, Inc.",502.05,$77.92B,1999,Finance,Investment Bankers/Brokers/Service
1954,NEU,NewMarket Corporation,485.95,$5.44B,,Basic Industries,Major Chemicals
559,CHE,Chemed Corp.,441.41,$7.07B,,Health Care,Medical/Nursing Services
2553,SHOP,Shopify Inc.,393.63,$40.81B,2015,Technology,Computer Software: Prepackaged Software
1693,LMT,Lockheed Martin Corporation,385.95,$108.87B,,Capital Goods,Military/Government/Technical
2487,SAM,"Boston Beer Company, Inc. (The)",375.83,$4.52B,,Consumer Non-Durables,Beverages (Production/Distribution)
368,BIO,"Bio-Rad Laboratories, Inc.",366.89,$10.98B,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
1415,HUM,Humana Inc.,365.88,$48.45B,,Health Care,Medical Specialities
2755,TFX,Teleflex Incorporated,364.29,$16.87B,,Health Care,Medical/Dental Instruments
1081,FICO,Fair Isaac Corporation,362.28,$10.49B,,Miscellaneous,Business Services
2445,ROP,"Roper Technologies, Inc.",351.94,$36.62B,1992,Capital Goods,Industrial Machinery/Components
2740,TDY,Teledyne Technologies Incorporated,347.21,$12.66B,,Capital Goods,Industrial Machinery/Components
2019,NOC,Northrop Grumman Corporation,344.69,$58.09B,,Capital Goods,Industrial Machinery/Components
1314,GWW,"W.W. Grainger, Inc.",337.22,$18.16B,,Consumer Services,Office Equipment/Supplies/Services
273,BA,Boeing Company (The),327,$184.03B,,Capital Goods,Aerospace
2788,TMO,Thermo Fisher Scientific Inc,321.46,$128.9B,,Capital Goods,Industrial Machinery/Components
3006,WCG,"WellCare Health Plans, Inc.",320.71,$16.14B,2004,Health Care,Medical Specialities
668,COO,"The Cooper Companies, Inc. ",318.97,$15.81B,,Health Care,Ophthalmic Goods
134,ALX,"Alexander&#39;s, Inc.",315,$1.61B,,Consumer Services,Real Estate Investment Trusts
1097,FLT,"FleetCor Technologies, Inc.",307.61,$26.69B,2010,Miscellaneous,Business Services
1001,ESS,"Essex Property Trust, Inc.",300.99,$19.89B,1994,Consumer Services,Real Estate Investment Trusts
1723,MA,Mastercard Incorporated,296.96,$299.59B,2006,Miscellaneous,Business Services
845,DPZ,Domino&#39;s Pizza Inc,292.15,$11.95B,2004,Consumer Non-Durables,Food Distributors
2899,UNH,UnitedHealth Group Incorporated,292.03,$276.67B,,Health Care,Medical Specialities
163,ANTM,"Anthem, Inc.",291.78,$73.98B,,Health Care,Medical Specialities
2870,TYL,"Tyler Technologies, Inc.",289.95,$11.3B,,Technology,Computer Software: Prepackaged Software
1870,MSG,The Madison Square Garden Company,283.17,$6.76B,2015,Consumer Services,Services-Misc. Amusement & Recreation
2025,NOW,"ServiceNow, Inc.",281.79,$53.15B,2012,Technology,Computer Software: Prepackaged Software
2387,RE,"Everest Re Group, Ltd.",276.37,$11.27B,,Finance,Property-Casualty Insurers
1815,MLM,"Martin Marietta Materials, Inc.",274.59,$17.16B,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
2620,SPGI,S&P Global Inc.,272.61,$66.63B,,Finance,Finance: Consumer Services
1062,FDS,FactSet Research Systems Inc.,271.6,$10.31B,1996,Technology,"Computer Software: Programming, Data Processing"
324,BDX,"Becton, Dickinson and Company",269.88,$72.99B,,Health Care,Medical/Dental Instruments
1868,MSCI,MSCI Inc,261.19,$22.12B,,Miscellaneous,Business Services
2166,PAYC,"Paycom Software, Inc.",259.48,$15.15B,2014,Technology,Computer Software: Prepackaged Software
1683,LII,"Lennox International, Inc.",258,$9.94B,1999,Capital Goods,Industrial Machinery/Components
675,CP,Canadian Pacific Railway Limited,253.07,$34.71B,,Transportation,Railroads
1353,HII,"Huntington Ingalls Industries, Inc.",252.31,$10.32B,,Capital Goods,Marine Transportation
1882,MTN,"Vail Resorts, Inc.",248,$9.98B,1997,Consumer Services,Services-Misc. Amusement & Recreation
475,CACI,"CACI International, Inc.",242.36,$6.07B,,Technology,EDP Services
1945,NEE,"NextEra Energy, Inc.",239.47,$117.05B,,Public Utilities,Electric Utilities: Central
1744,MCO,Moody&#39;s Corporation,236.1,$44.58B,,Finance,Finance: Consumer Services
1035,EW,Edwards Lifesciences Corporation,234.96,$49.01B,,Health Care,Industrial Specialties
170,APD,"Air Products and Chemicals, Inc.",234.44,$51.69B,,Basic Industries,Major Chemicals
2998,WAT,Waters Corporation,234.02,$15.08B,1995,Capital Goods,Biotechnology: Laboratory Analytical Instruments
2163,PANW,"Palo Alto Networks, Inc.",229.69,$22.5B,2012,Technology,Computer peripheral equipment
1283,GS,"Goldman Sachs Group, Inc. (The)",228.04,$80.75B,1999,Finance,Investment Bankers/Brokers/Service
447,BURL,"Burlington Stores, Inc.",224.45,$14.87B,2013,Consumer Services,Department/Specialty Retail Stores
2411,RH,RH,220.5,$4.2B,2012,Consumer Services,Other Specialty Stores
2462,RTN,Raytheon Company,219.29,$61.07B,,Capital Goods,Industrial Machinery/Components
153,AMT,American Tower Corporation (REIT),215.6,$95.5B,,Consumer Services,Real Estate Investment Trusts
1331,HD,"Home Depot, Inc. (The)",215.53,$235.11B,,Consumer Services,RETAIL: Building Materials
975,EPAM,"EPAM Systems, Inc.",212.2,$11.67B,2012,Technology,EDP Services
2897,UNF,Unifirst Corporation,211.6,$4.01B,,Consumer Services,Other Consumer Services
1684,LIN,Linde plc,210.02,$112.82B,2018,Basic Industries,Major Chemicals
237,AVB,"AvalonBay Communities, Inc.",209.37,$29.24B,,Consumer Services,Real Estate Investment Trusts
2222,PH,Parker-Hannifin Corporation,207.59,$26.67B,,Capital Goods,Metal Fabrications
292,BAP,Credicorp Ltd.,207.2,$16.53B,,Finance,Commercial Banks
165,AON,Aon plc,207.01,$48.47B,,Finance,Specialty Insurers
274,BABA,Alibaba Group Holding Limited,206.97,$555.24B,2014,Miscellaneous,Business Services
2303,PSA,Public Storage,206.18,$36.02B,,Consumer Services,Real Estate Investment Trusts
26,ACN,Accenture plc,205,$130.37B,2001,Miscellaneous,Business Services
3015,WEX,WEX Inc.,204.89,$8.87B,,Miscellaneous,Business Services
2443,ROK,"Rockwell Automation, Inc.",204.41,$23.62B,,Capital Goods,Industrial Machinery/Components
2704,SYK,Stryker Corporation,204.25,$76.46B,,Health Care,Medical/Dental Instruments
937,EL,"Estee Lauder Companies, Inc. (The)",204.03,$73.41B,1995,Consumer Non-Durables,Package Goods/Cosmetics
1682,LHX,"L3Harris Technologies, Inc.",201.34,$44.51B,,Capital Goods,Industrial Machinery/Components
156,ANET,"Arista Networks, Inc.",198.64,$15.18B,2014,Technology,Computer Communications Equipment
1740,MCD,McDonald&#39;s Corporation,197.88,$149.02B,,Consumer Services,Restaurants
2438,RNR,RenaissanceRe Holdings Ltd.,197.69,$8.73B,,Finance,Property-Casualty Insurers
575,CI,Cigna Corporation,195.13,$72.87B,,Health Care,Medical Specialities
2049,NSC,Norfolk Southern Corporation,190.56,$49.69B,,Transportation,Railroads
217,ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",190.16,$5.7B,,Transportation,Aerospace
68,AGN,Allergan plc.,190.12,$62.41B,2013,Health Care,Major Pharmaceuticals
2888,UI,Ubiquiti Inc.,187.5,$12.16B,,Technology,Radio And Television Broadcasting And Communications Equipment
2930,V,Visa Inc.,186.24,$413.89B,,Miscellaneous,Business Services
906,ECL,Ecolab Inc.,185.98,$53.61B,,Basic Industries,Package Goods/Cosmetics
2681,STZ,Constellation Brands Inc,182.89,$35.05B,,Consumer Non-Durables,Beverages (Production/Distribution)
623,CMI,Cummins Inc.,181.81,$27.85B,,Energy,Industrial Machinery/Components
1170,GD,General Dynamics Corporation,180.59,$52.25B,,Capital Goods,Marine Transportation
2902,UNP,Union Pacific Corporation,180.09,$125.02B,,Transportation,Railroads
1268,GPN,Global Payments Inc.,179.3,$53.89B,,Miscellaneous,Business Services
3069,WSO,"Watsco, Inc.",179.24,$6.83B,,Consumer Durables,Industrial Machinery/Components
1501,ITW,Illinois Tool Works Inc.,177.47,$57.04B,,Technology,Industrial Machinery/Components
1377,HON,Honeywell International Inc.,176.4,$126.04B,,Capital Goods,Aerospace
791,DE,Deere & Company,172.85,$54.12B,,Capital Goods,Industrial Machinery/Components
1544,JLL,Jones Lang LaSalle Incorporated,171.22,$8.82B,,Finance,Real Estate
2588,SNA,Snap-On Incorporated,171.14,$9.39B,,Capital Goods,Industrial Machinery/Components
1821,MMM,3M Company,170.75,$98.19B,,Health Care,Medical/Dental Instruments
1875,MTB,M&T Bank Corporation,170.03,$22.44B,,Finance,Major Banks
1811,MKC,"McCormick & Company, Incorporated",167.62,$22.28B,,Consumer Non-Durables,Packaged Foods
149,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",167.44,$21.21B,,Finance,Investment Managers
1678,LH,Laboratory Corporation of America Holdings,167.31,$16.25B,,Health Care,Medical Specialities
1441,IEX,IDEX Corporation,167.2,$12.72B,1989,Capital Goods,Fluid Controls
2317,PSB,"PS Business Parks, Inc.",166.14,$4.56B,,Consumer Services,Real Estate Investment Trusts
796,DEO,Diageo plc,165.91,$100.94B,,Consumer Non-Durables,Beverages (Production/Distribution)
2435,RNG,"Ringcentral, Inc.",165.67,$14.26B,2013,Technology,EDP Services
2369,RACE,Ferrari N.V.,165.25,$41.18B,2015,Capital Goods,Auto Manufacturing
2407,RGA,"Reinsurance Group of America, Incorporated",165.22,$10.34B,,Finance,Life Insurance
2906,URI,"United Rentals, Inc.",165.16,$12.41B,1997,Technology,Diversified Commercial Services
1063,FDX,FedEx Corporation,164.1,$42.82B,,Transportation,Air Freight/Delivery Services
2692,SWK,"Stanley Black & Decker, Inc.",164.05,$24.94B,,Capital Goods,Industrial Machinery/Components
793,DECK,Deckers Outdoor Corporation,163.6,$4.58B,1993,Consumer Non-Durables,Shoe Manufacturing
697,CRM,Salesforce.com Inc,161.96,$143.66B,2004,Technology,Computer Software: Prepackaged Software
1872,MSI,"Motorola Solutions, Inc.",161.4,$27.65B,,Technology,Radio And Television Broadcasting And Communications Equipment
703,CSL,Carlisle Companies Incorporated,159.91,$9.06B,,Basic Industries,Specialty Chemicals
1645,KWR,Quaker Chemical Corporation,159.19,$2.82B,,Basic Industries,Major Chemicals
2265,PNC,"PNC Financial Services Group, Inc. (The)",159,$69.67B,,Finance,Major Banks
2204,PEN,"Penumbra, Inc.",158.3,$5.53B,2015,Health Care,Medical/Dental Instruments
1496,IT,"Gartner, Inc.",157.94,$14.13B,1993,Consumer Services,Other Consumer Services
1413,HUBS,"HubSpot, Inc.",157.38,$6.74B,2014,Technology,Computer Software: Prepackaged Software
192,ARE,"Alexandria Real Estate Equities, Inc.",156.37,$18.01B,,Consumer Services,Real Estate Investment Trusts
2426,RMD,ResMed Inc.,156,$22.43B,,Health Care,Medical/Dental Instruments
492,CB,Chubb Limited,155.53,$70.49B,,Finance,Property-Casualty Insurers
1650,LAD,"Lithia Motors, Inc.",154.16,$3.58B,,Consumer Durables,Automotive Aftermarket
3,AAP,Advance Auto Parts Inc,153.5,$10.63B,,Consumer Services,Other Specialty Stores
1636,KSU,Kansas City Southern,152.99,$15.16B,,Transportation,Railroads
802,DG,Dollar General Corporation,152.77,$38.9B,2009,Consumer Services,Department/Specialty Retail Stores
2684,SUI,"Sun Communities, Inc.",151.86,$14.07B,1993,Consumer Services,Real Estate Investment Trusts
334,BFAM,Bright Horizons Family Solutions Inc.,151.84,$8.83B,2013,Miscellaneous,Other Consumer Services
541,CEO,CNOOC Limited,151.75,$1.62B,2001,Energy,Oil & Gas Production
616,CLX,Clorox Company (The),151.59,$19.03B,,Consumer Durables,Specialty Chemicals
806,DHR,Danaher Corporation,151.44,$108.78B,,Capital Goods,Industrial Machinery/Components
2965,VMW,"Vmware, Inc.",150.89,$61.85B,2007,Technology,Computer Software: Prepackaged Software
2624,SPOT,Spotify Technology S.A.,150.78,$26.33B,2018,Consumer Services,Broadcasting
2666,STE,STERIS plc,150.75,$12.78B,,Health Care,Industrial Specialties
2635,SRE,Sempra Energy,150.64,$42.46B,,Public Utilities,Natural Gas Distribution
552,CFXA,Colfax Corporation,150.34,,2019,Capital Goods,Fluid Controls
3110,ZBH,"Zimmer Biomet Holdings, Inc.",150,$30.85B,,Health Care,Industrial Specialties
2924,UTX,United Technologies Corporation,149.46,$129.02B,,Capital Goods,Aerospace
3033,WHR,Whirlpool Corporation,149.1,$9.42B,,Consumer Durables,Consumer Electronics/Appliances
813,DIS,Walt Disney Company (The),148.46,$267.58B,,Consumer Services,Services-Misc. Amusement & Recreation
696,CRL,"Charles River Laboratories International, Inc.",147.71,$7.21B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch
2943,VEEV,Veeva Systems Inc.,147.67,$21.94B,2013,Technology,Computer Software: Prepackaged Software
1412,HUBB,Hubbell Inc,147.38,$8.02B,2015,Capital Goods,Electrical Products
2963,VMI,"Valmont Industries, Inc.",147.31,$3.17B,,Capital Goods,Metal Fabrications
3072,WST,"West Pharmaceutical Services, Inc.",147.25,$10.9B,,Basic Industries,Specialty Chemicals
1400,HSY,Hershey Company (The),146.78,$30.67B,,Consumer Non-Durables,Specialty Foods
1485,IQV,"IQVIA Holdings, Inc.",146.53,$28.43B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch
2618,SPG,"Simon Property Group, Inc.",145.58,$44.67B,,Consumer Services,Real Estate Investment Trusts
490,CAT,"Caterpillar, Inc.",145.36,$80.33B,,Capital Goods,Construction/Ag Equipment/Trucks
1323,HCA,"HCA Healthcare, Inc.",143.67,$48.73B,2011,Health Care,Hospital/Nursing Management
2346,PXD,Pioneer Natural Resources Company,143.37,$23.75B,,Energy,Oil & Gas Production
2936,VAR,"Varian Medical Systems, Inc.",143.26,$13.02B,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
753,CW,Curtiss-Wright Corporation,142.79,$6.1B,,Technology,Industrial Machinery/Components
2785,TM,Toyota Motor Corp Ltd Ord,142.53,$202.12B,,Capital Goods,Auto Manufacturing
2962,VMC,Vulcan Materials Company,142.35,$18.84B,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
1742,MCK,McKesson Corporation,142.2,$25.62B,,Health Care,Other Pharmaceuticals
1554,JNJ,Johnson & Johnson,141.79,$373.17B,,Health Care,Major Pharmaceuticals
2886,UHS,"Universal Health Services, Inc.",141.67,$12.41B,,Health Care,Hospital/Nursing Management
2490,SAP,SAP SE,139.39,$171.24B,,Technology,Computer Software: Prepackaged Software
1662,LEA,Lear Corporation,139.02,$8.41B,,Capital Goods,Auto Parts:O.E.M.
924,EFX,"Equifax, Inc.",138.25,$16.74B,,Finance,Finance: Consumer Services
1797,MHK,"Mohawk Industries, Inc.",137.35,$9.84B,,Consumer Durables,Home Furnishings
2289,PRI,"Primerica, Inc.",137.34,$5.68B,2010,Finance,Life Insurance
1561,JPM,J P Morgan Chase & Co,137.34,$430.76B,,Finance,Major Banks
2767,THG,"The Hanover Insurance Group, Inc.",137.13,$5.4B,,Finance,Property-Casualty Insurers
1086,FIS,"Fidelity National Information Services, Inc.",137.01,$84.21B,,Miscellaneous,Business Services
2834,TRV,"The Travelers Companies, Inc.",136.18,$35.15B,,Finance,Property-Casualty Insurers
1612,KMB,Kimberly-Clark Corporation,135.82,$46.56B,,Consumer Durables,Containers/Packaging
459,BXP,"Boston Properties, Inc.",135.65,$20.97B,1997,Consumer Services,Real Estate Investment Trusts
3000,WBC,Wabco Holdings Inc.,135.16,$6.93B,,Capital Goods,Auto Manufacturing
513,CCI,Crown Castle International Corporation,134.5,$55.92B,,Consumer Services,Real Estate Investment Trusts
1839,MOH,Molina Healthcare Inc,134.21,$8.41B,2003,Health Care,Medical Specialities
1432,IBM,International Business Machines Corporation,134.13,$118.79B,,Technology,Computer Manufacturing
2774,TIF,Tiffany & Co.,133.6,$16.02B,1987,Consumer Services,Consumer Specialties
1486,IR,Ingersoll-Rand plc (Ireland),133.34,$31.95B,,Capital Goods,Auto Parts:O.E.M.
2276,PPG,"PPG Industries, Inc.",133.25,$31.51B,,Basic Industries,Paints/Coatings
929,EGP,"EastGroup Properties, Inc.",132.98,$5.11B,,Consumer Services,Real Estate Investment Trusts
264,AYI,"Acuity Brands, Inc. ",132.31,$5.24B,,Consumer Durables,Building Products
247,AVY,Avery Dennison Corporation,130.81,$10.92B,,Consumer Durables,Containers/Packaging
1724,MAA,"Mid-America Apartment Communities, Inc.",130.54,$14.89B,1994,Consumer Services,Real Estate Investment Trusts
103,AIZ,"Assurant, Inc.",130.42,$7.91B,2004,Finance,Property-Casualty Insurers
2442,ROG,Rogers Corporation,130.32,$2.42B,,Basic Industries,Major Chemicals
1131,FRT,Federal Realty Investment Trust,128.45,$9.7B,,Consumer Services,Real Estate Investment Trusts
2598,SNX,Synnex Corporation,128.33,$6.55B,2003,Technology,Retail: Computer Software & Peripheral Equipment
