Symbol,Name, Sector,Industry,Summary_quote
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
ACB,Aurora Cannabis Inc.,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ACEL,"Accel Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACEL.WS,"Accel Entertainment, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/acel.ws
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ACM,AECOM,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
ACN,Accenture plc,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACP,Aberdeen Income Credit Strategies Fund,n/a,n/a,https://old.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a,https://old.nasdaq.com/symbol/acv
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/adx
AEB,Aegon NV,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEE,Ameren Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AEFC,Aegon Funding Company LLC,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEG,Aegon NV,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,n/a,n/a,https://old.nasdaq.com/symbol/ael^a
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/aep^b
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AES,The AES Corporation,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a,https://old.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,n/a,n/a,https://old.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGE.CL,"American Financial Group, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/afge.cl
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AFT,Apollo Senior Floating Rate Fund Inc.,n/a,n/a,https://old.nasdaq.com/symbol/aft
AG,First Majestic Silver Corp.,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,n/a,n/a,https://old.nasdaq.com/symbol/agd
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
AGM,Federal Agricultural Mortgage Corporation,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,https://old.nasdaq.com/symbol/agm.a
AGM^A,Federal Agricultural Mortgage Corporation,n/a,n/a,https://old.nasdaq.com/symbol/agm^a
AGM^C,Federal Agricultural Mortgage Corporation,n/a,n/a,https://old.nasdaq.com/symbol/agm^c
AGM^D,Federal Agricultural Mortgage Corporation,n/a,n/a,https://old.nasdaq.com/symbol/agm^d
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agn
