Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",84.45,$26.1B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,20.98,$3.89B,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AAN,"Aaron&#39;s,  Inc.",59.66,$4.01B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,153.5,$10.63B,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",44.89,$2.69B,2011,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,30.23,$2.9B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,23.79,$50.74B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,89.43,$132.25B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),85.96,$17.7B,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,4.67,$73.46B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,115.71,$2.23B,2002,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,37.48,$2.49B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,14.21,$1.56B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,26.2757,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.7498,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,86.4,$152.79B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
AC,"Associated Capital Group, Inc.",36.44,$819.51M,2015,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",44,$2.13B,2018,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
ACB,Aurora Cannabis Inc.,2.54,$2.77B,2018,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb
ACC,American Campus Communities Inc,46.24,$6.35B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,9.57,$928.16M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ACEL,"Accel Entertainment, Inc.",12.27,$2.67B,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
